"filename", "language", "Java", "comment", "blank", "total"
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/Circle.java", "Java", 22, 4, 3, 29
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/DrawPanel.java", "Java", 36, 0, 11, 47
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/MyShape.java", "Java", 129, 2, 18, 149
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/Pen.java", "Java", 22, 6, 7, 35
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/Square.java", "Java", 19, 4, 4, 27
"/home/bunny/Documents/GitHub/GUI/GUI11_50c_Święch_s29379/src/VectorPaint.java", "Java", 356, 89, 34, 479
"Total", "-", 584, 105, 77, 766
