"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Cennik\Cennik.class", "Java", -1, 0, 0, -1
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Cennik\CennikItem.class", "Java", -1, 0, 0, -1
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\Klient\Koszyk.class", "Java", -2, 0, 0, -2
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\bin\VODTest.class", "Java", 1, 0, 0, 1
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Cennik\Cennik.java", "Java", -1, 8, 0, 7
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Cennik\CennikItem.java", "Java", 0, 3, 1, 4
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\Klient.java", "Java", 0, 18, 0, 18
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\Koszyk.java", "Java", -4, 1, -2, -5
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Klient\ListaZyczen.java", "Java", 0, 6, 2, 8
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Program.java", "Java", 0, 11, 0, 11
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\Programy\Programy.java", "Java", -1, -16, -7, -24
"c:\Users\alik5\workspace\GUI\GUI27_SA_S29379\src\VODTest.java", "Java", -1, -1, -1, -3
"Total", "-", -10, 30, -7, 13
